"entrizID","symbol","TCGA(COAD)","TCGA(READ)","GSE14333","GSE143985","GSE161158","GSE17536","GSE38832","GSE87211","GSE17537","GSE39582","GSE171680"
"6279","S100A8",9,4,5,12,2,3,1,1,1,1,2
"9935","MAFB",2,1,8,15,7,4,5,16,29,2,7
"597","BCL2A1",5,12,4,24,1,1,2,20,2,3,24
"4688","NCF2",3,11,3,53,6,2,3,5,9,4,12
"4332","MNDA",13,3,18,43,8,18,11,2,4,5,18
"3689","ITGB2",1,2,13,38,14,16,8,24,10,8,27
"7305","TYROBP",29,9,9,34,9,12,23,19,5,10,22
"23643","LY96",52,20,6,35,4,5,19,30,3,6,19
"241","ALOX5AP",34,24,10,26,11,10,24,11,17,12,23
"2207","FCER1G",15,7,22,42,3,6,17,44,7,9,51
"7805","LAPTM5",14,5,51,9,22,27,38,27,13,13,20
"3115","HLA-DPB1",17,26,21,5,18,15,22,64,14,20,30
"3122","HLA-DRA",10,38,34,3,27,31,20,51,26,16,5
"963","CD53",20,22,35,17,19,22,29,32,18,23,38
"5552","SRGN",18,6,43,1,69,37,43,8,8,25,25
"4478","MSN",32,14,50,19,28,24,55,14,22,14,13
"2633","GBP1",27,50,44,8,16,11,21,35,27,22,35
"3937","LCP2",37,23,28,36,5,49,27,6,34,26,26
"3113","HLA-DPA1",8,35,40,4,26,36,50,55,16,19,10
"9976","CLEC2B",21,27,14,25,72,9,14,46,11,15,54
